,Date,real_b,predict_b,se_b,real_g,predict_g,se_g,Iftrad
203,2017/4/2,1099.169125,1107.594,31.7356708,,1246.433809,13.06964056,FALSE
204,2017/4/3,1079.99,1101.83205,31.66324253,1247.25,1246.204272,15.30607452,TRUE
205,2017/4/4,1141.600363,1063.932048,31.618297,1257.65,1248.26435,10.15429132,TRUE
206,2017/4/5,1133.079314,1140.14978,31.94179748,1245.8,1255.713658,10.11294712,TRUE
207,2017/4/6,1133.53,1125.330375,31.86750722,1252.5,1247.853591,10.09466071,TRUE
208,2017/4/7,1190.45425,1128.70755,31.79561621,1266.45,1251.890759,10.00880979,TRUE
209,2017/4/8,1181.149838,1197.491904,31.99448,,1262.284006,9.816311433,FALSE
210,2017/4/9,1184.03,1178.642014,31.93689754,,1264.832469,13.56089943,FALSE
211,2017/4/10,1207.744875,1179.982808,31.86309238,1250.05,1265.913869,16.74499496,TRUE
212,2017/4/11,1226.617038,1207.161747,31.84438259,1252.9,1246.580325,9.878960786,TRUE
213,2017/4/12,1219.09,1226.165999,31.79676828,1274.3,1255.761762,10.40743437,TRUE
214,2017/4/13,1180.023713,1215.68278,31.72503473,1284.15,1271.078026,10.18959623,TRUE
215,2017/4/14,1185.260057,1175.623042,31.74556025,,1285.1506,9.788416174,FALSE
216,2017/4/15,1170.36,1189.465893,31.67776272,,1281.439299,13.76399014,FALSE
217,2017/4/16,1186.927413,1174.91412,31.63148685,,1276.272859,16.95027059,FALSE
218,2017/4/17,1205.634875,1191.935149,31.56821188,,1276.175566,19.32143356,FALSE
219,2017/4/18,1176.97,1206.356528,31.50942721,1278.95,1280.108892,21.08196657,TRUE
220,2017/4/19,1217.930088,1170.001458,31.49978543,1279.05,1282.366859,9.890489732,TRUE
221,2017/4/20,1241.686325,1217.872487,31.59379475,1282.1,1277.979168,9.930693755,TRUE
222,2017/4/21,1236.63,1241.339623,31.56201716,1281.85,1278.255392,9.912018077,TRUE
223,2017/4/22,1261.311225,1232.456628,31.4924122,,1280.989351,9.849661591,FALSE
224,2017/4/23,1257.988113,1260.163944,31.48097749,,1283.357941,13.50041304,FALSE
225,2017/4/24,1240.84,1255.558447,31.41058314,1269.4,1285.647446,16.52785603,TRUE
226,2017/4/25,1279.414688,1238.697092,31.35595248,1267.8,1268.653682,9.878781067,TRUE
227,2017/4/26,1309.109875,1283.610517,31.40314563,1261.85,1266.281291,9.79790174,TRUE
228,2017/4/27,1288.02,1310.693415,31.37925009,1262.8,1261.975005,9.731372162,TRUE
229,2017/4/28,1331.294429,1281.421898,31.3462634,1266.45,1264.991317,9.755366145,TRUE
230,2017/4/29,1334.979038,1329.896356,31.45027551,,1267.224655,9.651975772,FALSE
231,2017/4/30,1333,1331.87023,31.38385418,,1267.356593,13.1817819,FALSE
232,2017/5/1,1417.172813,1330.347084,31.31575809,,1265.087383,16.44624585,FALSE
233,2017/5/2,1452.076288,1421.88948,31.76170995,1255.45,1264.717229,18.91137648,TRUE
234,2017/5/3,1447.55,1449.666705,31.75408532,1250.3,1256.712007,9.703045868,TRUE
235,2017/5/4,1508.292125,1437.13921,31.68552828,1228.45,1252.344307,9.658505931,TRUE
236,2017/5/5,1533.335071,1505.65773,31.95223803,1228.05,1230.873208,10.01245725,TRUE
237,2017/5/6,1518.75,1531.869205,31.93523264,,1228.329721,9.867029232,FALSE
238,2017/5/7,1535.868429,1514.917162,31.87854299,,1230.310551,13.26517997,FALSE
239,2017/5/8,1640.619225,1536.532551,31.84031152,1229.8,1229.242521,16.07717667,TRUE
240,2017/5/9,1651.1,1648.396534,32.47768873,1220.4,1226.563425,9.894589747,TRUE
241,2017/5/10,1762.88625,1646.395951,32.41178443,1222.95,1217.290304,9.872537883,TRUE
242,2017/5/11,1820.990563,1765.797141,33.04230073,1223.15,1219.531293,9.890375482,TRUE
243,2017/5/12,1829,1817.084669,33.15919403,1231.25,1222.149518,9.778206246,TRUE
244,2017/5/13,1771.920013,1831.549915,33.10091583,,1229.700374,9.700217225,FALSE
245,2017/5/14,1776.3165,1761.112369,33.32676058,,1229.723178,13.09865893,FALSE
246,2017/5/15,1780,1777.007569,33.27250277,1233.3,1229.513138,15.94472752,TRUE
247,2017/5/16,1739.031975,1788.363837,33.2011865,1234.2,1234.507907,9.765033548,TRUE
248,2017/5/17,1807.485063,1738.946238,33.28597853,1257.4,1236.108269,9.726302361,TRUE
249,2017/5/18,1783.98,1809.763195,33.49862868,1255.9,1257.206597,9.892603174,TRUE
250,2017/5/19,1961.520488,1780.135904,33.47014715,1252,1257.990884,9.771348728,TRUE
251,2017/5/20,2052.909788,1967.27215,34.78386547,,1251.057097,9.72948585,FALSE
252,2017/5/21,2008.84,2075.477931,35.36035377,,1251.968027,13.07546799,FALSE
253,2017/5/22,2090.662313,2008.202936,35.28396814,1258.85,1254.466626,15.80286072,TRUE
254,2017/5/23,2287.710288,2094.991777,35.90808107,1260.2,1260.240586,9.788580608,TRUE
255,2017/5/24,2256.32,2326.397586,37.35930452,1252.55,1260.869524,9.75642157,TRUE
256,2017/5/25,2387.206286,2272.845185,37.53029877,1256.95,1253.418787,9.801952614,TRUE
257,2017/5/26,2211.976857,2420.339345,38.05739753,1265.05,1254.694135,9.761254003,TRUE
258,2017/5/27,2279.82,2192.637406,39.41468081,,1264.627466,9.665151987,FALSE
259,2017/5/28,2192.9808,2289.131445,40.09574365,,1263.661846,12.95079346,FALSE
260,2017/5/29,2275.9307,2205.255094,40.42655188,,1262.014952,15.53109442,FALSE
261,2017/5/30,2290.02,2256.329806,40.12022769,1262.7,1261.713481,17.3841069,TRUE
262,2017/5/31,2285.933914,2335.847233,40.09109078,1266.2,1263.220397,9.736529031,TRUE
263,2017/6/1,2399.242671,2295.015276,40.44400879,1264.85,1266.872767,9.734312564,TRUE
264,2017/6/2,2409.93,2394.185633,40.85018238,1274.95,1266.009117,9.747164378,TRUE
265,2017/6/3,2525.765158,2415.561562,40.78278679,,1274.596575,9.621044549,FALSE
266,2017/6/4,2516.173143,2527.937156,41.23791947,,1275.22445,12.84597349,FALSE
267,2017/6/5,2529.53,2525.828347,41.16665513,1279.95,1274.606748,15.38829297,TRUE
268,2017/6/6,2883.313697,2524.614277,41.08948122,1293.5,1279.816093,9.65336931,TRUE
269,2017/6/7,2664.920863,2884.607588,45.36147002,1291,1292.608816,9.703146672,TRUE
270,2017/6/8,2683.03,2753.064434,47.79218626,1273.1,1290.197626,9.740352246,TRUE
271,2017/6/9,2827.4913,2664.529839,47.84580885,1266.55,1276.48537,9.747762144,TRUE
272,2017/6/10,2845.372857,2783.681664,48.10488489,,1269.79492,9.644823076,FALSE
273,2017/6/11,2898.63,2875.156815,47.21605896,,1273.557722,12.92433274,FALSE
274,2017/6/12,2657.675063,2927.298932,47.1471647,1266.4,1275.0906,15.35729804,TRUE
275,2017/6/13,2748.185086,2728.883608,48.87063049,1262,1265.296704,9.79947792,TRUE
276,2017/6/14,2706,2771.21311,49.6987211,1275.5,1260.041827,9.825122072,TRUE
277,2017/6/15,2442.48025,2738.143475,49.74461805,1254.55,1271.584434,9.77093829,TRUE
278,2017/6/16,2464.959814,2456.160192,52.79875746,1255.4,1254.451477,9.763353388,TRUE
279,2017/6/17,2477.94,2477.970011,52.7059433,,1253.969648,9.667877678,FALSE
280,2017/6/18,2507.389252,2471.372354,52.61102808,,1253.972125,12.4825103,FALSE
281,2017/6/19,2617.210263,2491.554433,52.55831286,1248.15,1253.321023,14.48841613,TRUE
282,2017/6/20,2600,2552.649414,51.25737089,1242.2,1249.363124,9.804034265,TRUE
283,2017/6/21,2671.04325,2667.832081,51.24570529,1242.5,1243.191654,9.822291606,TRUE
284,2017/6/22,2727.288013,2608.377432,51.15401911,1250.8,1243.613287,9.75014959,TRUE
285,2017/6/23,2713.48,2744.413976,51.53867837,1255.7,1249.040931,9.648393108,TRUE
286,2017/6/24,2589.164888,2729.817004,51.47750367,,1253.908228,9.570469575,FALSE
287,2017/6/25,2512.366286,2611.610039,51.17749117,,1251.779422,12.39109553,FALSE
288,2017/6/26,2502.03,2545.707099,51.9738413,1245.25,1251.494237,14.36123354,TRUE
289,2017/6/27,2517.903114,2466.997453,51.93659242,1249.55,1245.379679,9.7115846,TRUE
290,2017/6/28,2585.349186,2571.479591,51.48007568,1248,1249.997064,9.717557361,TRUE
291,2017/6/29,2558.3,2528.511366,51.14211417,1243.5,1248.417305,9.656570391,TRUE
292,2017/6/30,2477.641375,2602.444494,51.3142609,1242.25,1245.289841,9.563366558,TRUE
293,2017/7/1,2501.191343,2497.540593,51.96464844,,1243.393837,9.471836051,FALSE
294,2017/7/2,2421.26,2474.977438,51.87671721,,1244.323798,12.22212394,FALSE
295,2017/7/3,2561.225429,2449.366764,51.87206137,1229.25,1243.983891,14.14790795,TRUE
296,2017/7/4,2599.729838,2541.331401,54.07819381,1223.75,1230.521808,9.61782814,TRUE
297,2017/7/5,2598.89,2597.072444,54.19555202,1220.3,1223.293471,9.633622288,TRUE
298,2017/7/6,2609.96775,2606.886252,54.26495353,1224.9,1219.612422,9.521746438,TRUE
299,2017/7/7,2491.201214,2612.926047,54.06595545,1215.65,1221.204797,9.453500752,TRUE
300,2017/7/8,2502.86,2534.327021,52.12958725,,1213.827156,9.408065132,FALSE
301,2017/7/9,2536.238938,2483.220081,52.07817765,,1210.962027,12.18432864,FALSE
302,2017/7/10,2366.170143,2526.461191,52.08342541,1211.9,1209.74193,14.14999333,TRUE
303,2017/7/11,2327.09,2389.018291,55.03484814,1211.05,1210.010131,9.525595066,TRUE
304,2017/7/12,2385.748571,2329.32843,55.09592478,1218.8,1211.237909,9.530135377,TRUE
305,2017/7/13,2354.783417,2369.93987,54.95465151,1218.9,1217.547086,9.471087546,TRUE
306,2017/7/14,2338.49,2353.748406,55.05766066,1230.3,1219.968879,9.357359371,TRUE
307,2017/7/15,2058.9956,2343.957243,54.78756738,,1229.182314,9.319951251,FALSE
